Year,Place,P (Blank or P),Governing Body,Type of Governing Body,5+,Description,Verified,Specific,Reception,Protection,Contact Through Trade,Partial Emancipation,Symbolic,Full Emancipation,Invited,Success Altering Country,Bribe Ends Expulsion,Leader Ends Expulsion,Conquer Country,Self Governing,Noted Holding IP,Brought in for Economic Growth,Laws Protecting Israel/Jews
1943,Italy,,,,,"Italian military authorities in Lyons force the French to rescind an order for the deportation of several hundred French Jews to Auschwitz. Ribbentrop complains to Mussolini that ""Italian military circles. . .lack a proper understanding of the Jewish question.""; the Italians refuse to cooperate with the Nazis in rounding up the Jews living in the zone of France under their control. In March, they will prevent the Nazis from deporting Jews in their zone. (JVL)",,,,,,,,,,,,,,,,,
1943,"Alessandria, Italy",P,,,,,,,,,,,,,,,,,,,,,
1943,"Hamilton, Bermuda",P,,,,,,,,,,,,,,,,,,,,,
1943,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1943,"Corfu, Zakynthos",P,,,,,,,,,,,,,,,,,,,,,
1943,The Balkans,P,,,,,,,,,,,,,,,,,,,,,
1943,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,"Turin, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1944,"Fiume, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,"Alessandria, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,"Crete, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,"Casale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,"Acqui, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,"Pisa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1944,France,P,,,,,,,,,,,,,,,,,,,,,
1945,West Germany[34],,,,,,,,,,,,,,,,,,,,,,
1945,Germany,,Holocaust finale (estimated 6 million jews slaughterd),1,1,0,0,1,1,0,0,1,1,1,1,,,,Holocaust ceased upon loss of the war,Revolt/Warfare,,,
1945,"Tripoli, Libya",P,,,,,,,,,,,,,,,,,,,,,
1945,Japan,P,,,,,,,,,,,,,,,,,,,,,
1945,"Kraków, Poland",P,,,,,,,,,,,,,,,,,,,,,
1945,Yugoslavia,P,,,,,,,,,,,,,,,,,,,,,
1945,Egypt,P,,,,,,,,,,,,,,,,,,,,,
1946,Bulgaria,P,,,,,,,,,,,,,,,,,,,,,
1946,Ukraine,P,,,,,,,,,,,,,,,,,,,,,
1946,"Kunmadaras, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1946,"Miskolc, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1946,"Kielce, Poland",P,,,,,,,,,,,,,,,,,,,,,
1946,Albania,P,,,,,,,,,,,,,,,,,,,,,
1947,"Manama, Bahrain",P,,,,,,,,,,,,,,,,,,,,,
1947,"Yemen; Aden, Yemen",P,,,,,,,,,,,,,,,,,,,,,
1947,"Aleppo, Syria",P,,,,,,,,,,,,,,,,,,,,,
1948,Czechoslovakia,P,,,,,,,,,,,,,,,,,,,,,
1948,"Bombay, India",P,,,,,,,,,,,,,,,,,,,,,
1948,West Bank,P,,,,,,,,,,,,,,,,,,,,,
1948,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
1948,"Jerada, Morocco",P,,,,,,,,,,,,,,,,,,,,,
1948,"Oujda, Morocco",P,,,,,,,,,,,,,,,,,,,,,
1948,Yemen,P,,,,,,,,,,,,,,,,,,,,,
1948,Pakistan,P,,,,,,,,,,,,,,,,,,,,,
1948,"Cairo, Egypt",P,,,,,,,,,,,,,,,,,,,,,
1948,"Tripoli, Libya",P,,,,,,,,,,,,,,,,,,,,,
1948,Iraq,P,,,,,,,,,,,,,,,,,,,,,
1948,Lebanon,,,,,"Lebanon was the only Arab country whose Jewish population increased after the declaration of the State of Israel in 1948, reaching around 10,000 people.[18]",1,1,1,0,0,0,0,1,0,0,,,,,,,
1948,Creation of Modern Day Isreal,,,,,https://academicengagement.org/wp-content/uploads/2021/11/Why-I-am-A-Zionist_Gil-Troy.pdf (in a different context about the 19th century addressing the 'Jewish Problem'),,,,,,,,,,,,,,,,,
1948,"Moscow, Russia",P,,,,,,,,,,,,,,,,,,,,,
1949,Arab-Israeli Wars,,,,,"The conflict resulted in a significant displacement of Palestinian Arab populations. Hundreds of thousands of Palestinian Arabs fled or were expelled from their homes in the territory that became Israel.|The Nakba refers to the mass exodus of Palestinian Arabs during and after the 1948 war. Estimates vary, but hundreds of thousands of Palestinians became refugees, seeking shelter in neighboring Arab countries or becoming internally displaced within the region.|several neighboring Arab states, including Jordan, Egypt, Syria, and Iraq, experienced influxes of Palestinian refugees. Many Palestinians sought refuge in refugee camps set up in these countries.",,,,,,,,,,,,,,,,,
1949,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1949,"Damascus, Syria",P,,,,,,,,,,,,,,,,,,,,,
1951,Libya,P,,,,,,,,,,,,,,,,,,,,,
1951,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1951,Afghanistan,,,,,"They were allowed to freely emigrate in 1951, and they were also allowed to keep their Afghan citizenship.",,,,,,,,,,,,,,,,,
1952,Czechoslovakia,P,,,,,,,,,,,,,,,,,,,,,
1952,Soviet Union,P,,,,,,,,,,,,,,,,,,,,,
1953,Soviet Union,P,,,,,,,,,,,,,,,,,,,,,
1953,East Germany,P,,,,,,,,,,,,,,,,,,,,,
1956,Egypt,P,,,,,,,,,,,,,,,,,,,,,
1958,"Atlanta, Georgia, United States",P,,,,,,,,,,,,,,,,,,,,,
1958,"Birmingham, Alabama, United States",P,,,,,,,,,,,,,,,,,,,,,
1958,Lebanon,P,,,,,,,,,,,,,,,,,,,,,
1959,Cuba,P,,,,,,,,,,,,,,,,,,,,,
1960,Belgian Congo,P,,,,,,,,,,,,,,,,,,,,,
1960,"United States, Alabama",P,,,,,,,,,,,,,,,,,,,,,
1962,"Algeria, Africa",P,,,,,,,,,,,,,,,,,,,,,
1963,"Baghdad, Iraq",P,,,,,,,,,,,,,,,,,,,,,
1963,"Algeria, Africa",P,,,,,,,,,,,,,,,,,,,,,
1963,Yugoslavia,P,,,,,,,,,,,,,,,,,,,,,
1964,United States of America,,,,,"The Civil Rights Act of 1964 (Pub. L. 88–352, 78 Stat. 241, enacted July 2, 1964) is a landmark piece of civil rights legislation in the United States that outlawed: Refusal to sell or rent a dwelling to any person because of race, color, religion, sex, or national origin. Discrimination based on race, color, religion or national origin in the terms, conditions or privilege of the sale or rental of a dwelling. Advertising the sale or rental of a dwelling indicating preference of discrimination based on race, color, religion or national origin. Coercing, threatening, intimidating, or interfering with a person's enjoyment or exercise of housing rights based on discriminatory reasons or retaliating against a person or organization that aids or encourages the exercise or enjoyment of fair housing rights.",,,,,,,,,,,,,,,,,
1965,Germany,,,,,"The Frankfurt Auschwitz trials, known in German as der Auschwitz-Prozess, or der zweite Auschwitz-Prozess, (the ""second Auschwitz trial"") was a series of trials running from 20 December 1963 to 19 August 1965, charging 22 defendants under German criminal law for their roles in the Holocaust as mid- to lower-level officials in the Auschwitz-Birkenau death and concentration camp complex. Hans Hofmeyer led as Chief Judge the ""criminal case against Mulka and others"" (reference number 4 Ks 2/63). Overall, only 789 individuals of the approximately 6,500 surviving SS personnel who served at Auschwitz and its sub-camps were ever tried, of which 750 received sentences. Unlike the first trial in Poland held almost two decades earlier, the trials in Frankfurt were not based on the legal definition of crimes against humanity as recognized by international law, but according to the state laws of the Federal Republic.",,,,,,,,,,,,,,,,,
1967,"Middle East, Levant",P,,,,,,,,,,,,,,,,,,,,,
1967,"Algeria, Africa",P,,,,,,,,,,,,,,,,,,,,,
1967,Libya,P,,,,,,,,,,,,,,,,,,,,,
1967,Albania,P,,,,,,,,,,,,,,,,,,,,,
1967,Lebanon,P,,,,,,,,,,,,,,,,,,,,,
1967,Egypt,P,,,,,,,,,,,,,,,,,,,,,
1967,West Bank,,,,,"In 1967, Israel captured the West Bank from Jordan in the Six-Day War.",,,,,,,,,,,,,,,,,
1967,Hungary.,,,,,"diplomatic ties with Israel were severed, but commercial ties continued.",,,,,,,,,,,,,,,,,
1967,Bahrain,P,,,,,,,,,,,,,,,,,,,,,
1968,"United States, Alabama",P,,,,,,,,,,,,,,,,,,,,,
1968,Poland,P,,,,,,,,,,,,,,,,,,,,,
1968,"Kaunas, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1968,"Hebron, Kiryat Arba",,,,,"The ancient Jewish community of Hebron, which had been destroyed in the 1929 Hebron massacre, is revived at Kiryat Arba. The community, in 1979 and afterwards, moves into Hebron proper and rebuilds the demolished Abraham Avinu Synagogue, the site of which had been used by Jordan as a cattle-pen.",,,,,,,,,,,,,,,,,
1968,United States of America,,,,,"The Fair Housing Act (Title VIII of the Civil Rights Act of 1968) in the United States introduced meaningful federal enforcement mechanisms. It outlawed: Refusal to sell or rent a dwelling to any person because of race, color, religion, sex, or national origin. Discrimination based on race, color, religion or national origin in the terms, conditions or privilege of the sale or rental of a dwelling. Advertising the sale or rental of a dwelling indicating preference of discrimination based on race, color, religion or national origin. Coercing, threatening, intimidating, or interfering with a person's enjoyment or exercise of housing rights based on discriminatory reasons or retaliating against a person or organization that aids or encourages the exercise or enjoyment of fair housing rights.",,,,,,,,,,,,,,,,,
1968,Spain,,,,,The Alhambra Decree was formally revoked on 16 December 1968.,,,,,,,,,,,,,,,,,
1969,Afghanistan,P,,,,,,,,,,,,,,,,,,,,,
1969,Iraq,P,,,,,,,,,,,,,,,,,,,,,
1969,"Berlin, Germany",P,,,,,,,,,,,,,,,,,,,,,
1970,"Bălți, Moldova",,,,,"After the war, Bălți regained its status as a large Jewish center, with more than 15,000 Jews living there in 1970. A synagogue functioned from 1946 to 1959, with Lieber Zalman serving as its rabbi. In 1988 Jewish cultural life saw a revival with the opening of Menoyre, a Yiddish musical theater. A page on Jewish topics in the local newspaper Golos Belts began to appear in 1991. A new synagogue and Sunday school were established, and more than 1,000 Jews were living in Bălți in 2004. https://yivoencyclopedia.org/article.aspx/balti",,,,,,,,,,,,,,,,,
1970,Russia,P,,,,,,,,,,,,,,,,,,,,,
1971,Soviet Union/ USSR,,,,,"The ban on Jewish immigration to Israel from the Soviet Union was lifted in 1971 leading to the 1970s Soviet Union aliyah. They were called Refusiniks| A typical basis to deny emigration was the alleged association with Soviet state secrets. Some individuals were labelled as foreign spies or potential seditionists who purportedly wanted to abuse Israeli aliyah and Law of Return (right to return) as a means of escaping punishment for high treason or sedition from abroad. Applying for an exit visa was a step noted by the KGB, so that future career prospects, always uncertain for Soviet Jews, could be impaired.[2] As a rule, Soviet dissidents and refuseniks were fired from their workplaces and denied employment according to their major specialty. As a result, they had to find a menial job, such as a street sweeper, or face imprisonment on charges of social parasitism.[3] The ban on Jewish immigration to Israel was lifted in 1971, leading to the 1970s Soviet Union aliyah. The coming to power of Mikhail Gorbachev in the Soviet Union in the mid-1980s, and his policies of glasnost and perestroika, as well as a desire for better relations with the West, led to major changes, and most refuseniks were allowed to emigrate.",,,,,,,,,,,,,,,,,
1972,Uganda,P,,,,,,,,,,,,,,,,,,,,,
1972,Germany,P,,,,,,,,,,,,,,,,,,,,,
1974,Ethiopia,P,,,,,,,,,,,,,,,,,,,,,
1974,Syria,P,,,,,,,,,,,,,,,,,,,,,
1975,"Beirut, Lebanon",P,,,,,,,,,,,,,,,,,,,,,
1977,"Washington, D.C., United States",P,,,,,,,,,,,,,,,,,,,,,
1977,"St. Louis, Missouri, United States",P,,,,,,,,,,,,,,,,,,,,,
1978,Spain[35],,,,,,,,,,,,,,,,,,,,,,
1979,Zimbabwe,P,,,,,,,,,,,,,,,,,,,,,
1979,Iran,P,,,,,,,,,,,,,,,,,,,,,
1979,Uganda,,,,,1979 when Obote overthrew Amin and the freedom of religion was reinstated in Uganda. The same year a new Namutumba synagogue was constructed for Abayudaya worship services.,,,,,,,,,,,,,,,,,
1980,"Paris, France",P,,,,,,,,,,,,,,,,,,,,,
1980,"Antwerp, Belgium",P,,,,,,,,,,,,,,,,,,,,,
1980,South Africa,P,,,,,,,,,,,,,,,,,,,,,
1981,"Antwerp, Belgium",P,,,,,,,,,,,,,,,,,,,,,
1981,"Vienna, Austria",P,,,,,,,,,,,,,,,,,,,,,
1982,Brussels,P,,,,,,,,,,,,,,,,,,,,,
1982,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1982,"Vienna, Austria",P,,,,,,,,,,,,,,,,,,,,,
1984,United States,P,,,,,,,,,,,,,,,,,,,,,
1985,United States,P,,,,,,,,,,,,,,,,,,,,,
1985,"Copenhagen, Denmark",P,,,,,,,,,,,,,,,,,,,,,
1986,United States,,,,,Leo Frank was posthumously pardoned by the Georgia State Board of Pardons and Paroles.,,,,,,,,,,,,,,,,,
1986,"Istanbul, Turkey",P,,,,,,,,,,,,,,,,,,,,,
1987,Zimbabwe,P,,,,,,,,,,,,,,,,,,,,,
1987,Romania,P,,,,,,,,,,,,,,,,,,,,,
1987,Soviet Union,P,,,,,,,,,,,,,,,,,,,,,
1989,Tajikstan,P,,,,,,,,,,,,,,,,,,,,,
1989,Hungary.,,,,,The collapse of the communist government in 1989 brought the end of restrictions placed on the Jewish community and with relations with Israel.,,,,,,,,,,,,,,,,,
1989,Uzbekistan,P,,,,,,,,,,,,,,,,,,,,,
1990,United States,,,,,"Lake Forest, Illinois kept anti-Jewish and anti-African-American housing covenants until 1990.",,,,,,,,,,,,,,,,,
1990,United States,P,,,,,,,,,,,,,,,,,,,,,
1991,United States,P,,,,,,,,,,,,,,,,,,,,,
1991,Albania,P,,,,,,,,,,,,,,,,,,,,,
1991,Kyrgyzstan,P,,,,,,,,,,,,,,,,,,,,,
1991,United Nations,,,,,"In a roll-call vote at the United Nations General Assembly, 115-25, the body of nations voted to revoke its 1975 resolution equating Zionism with racism. Italy voted for the revocation.",,,,,,,,,,,,,,,,,
1992,Yugoslavia,P,,,,,,,,,,,,,,,,,,,,,
1992,"Istanbul, Turkey",P,,,,,,,,,,,,,,,,,,,,,
1993,United States,P,,,,,,,,,,,,,,,,,,,,,
1994,Argentina,P,,,,,,,,,,,,,,,,,,,,,
1994,United States,P,,,,,,,,,,,,,,,,,,,,,
1994,United States,P,,,,,,,,,,,,,,,,,,,,,
1994,"Hebron, West Bank",P,,,,,,,,,,,,,,,,,,,,,
1998,United States,P,,,,,,,,,,,,,,,,,,,,,
1999,"Paris, France",P,,,,,,,,,,,,,,,,,,,,,
1999,Iran,P,,,,,,,,,,,,,,,,,,,,,
1999,Cuba,P,,,,,,,,,,,,,,,,,,,,,
1999,United States,P,,,,,,,,,,,,,,,,,,,,,
1999,United States,P,,,,,,,,,,,,,,,,,,,,,
1999,Cuba,,,,,"According to the Latin American Jewish Congress, Venezuela's Jewish community had an estimated 22,000 people when Chávez took office in 1999.[10] In the first few years of the 21st century, the number of Venezuelan Jews emigrating to Israel grew steadily.[16] ",,,,,,,,,,,,,,,,,
2000,Canada,P,,,,,,,,,,,,,,,,,,,,,
2000,United States,P,,,,,,,,,,,,,,,,,,,,,
2000,"Pennsylvania, United States",P,,,,,,,,,,,,,,,,,,,,,
2000,United States,P,,,,,,,,,,,,,,,,,,,,,
2001,USA,,,,,Untersturmführer Julius Viel was convicted in 2001 of shooting seven Jewish prisoners from the Theresienstadt concentration camp in 1945.[23][24],,,,,,,,,,,,,,,,,
2002,United States,P,,,,,,,,,,,,,,,,,,,,,
2002,United States,P,,,,,,,,,,,,,,,,,,,,,
2002,Tunisia,P,,,,,,,,,,,,,,,,,,,,,
2002,France,P,,,,,,,,,,,,,,,,,,,,,
2002,Canada,P,,,,,,,,,,,,,,,,,,,,,
2002,Zimbabwe,P,,,,,,,,,,,,,,,,,,,,,
2003,Russia,P,,,,,,,,,,,,,,,,,,,,,
2003,Morocco,P,,,,,,,,,,,,,,,,,,,,,
2003,Turkey,P,,,,,,,,,,,,,,,,,,,,,
2004,New Zealand,P,,,,,,,,,,,,,,,,,,,,,
2004,Europe,,,,,"The European Commission against Racism and Intolerance, a part of the Council of Europe, called on its member nations to ""ensure that criminal law in the field of combating racism covers anti-Semitism"" and to penalize intentional acts of public incitement to violence, hatred or discrimination, public insults and defamation, threats against a person or group, and the expression of antisemitic ideologies. It urged member nations to ""prosecute people who deny, trivialize or justify the Holocaust"". The report was drawn up in wake of a rise in attacks on Jews in Europe. The report said it was Europe's ""duty to remember the past by remaining vigilant and actively opposing any manifestations of racism, xenophobia, anti-Semitism and intolerance... Anti-Semitism is not a phenomenon of the past and... the slogan 'never again' is as relevant today as it was 60 years ago."" september 2004",,,,,,,,,,,,,,,,,
2004,Canada,P,,,,,,,,,,,,,,,,,,,,,
2005,Russia,P,,,,,,,,,,,,,,,,,,,,,
2005,"Los Angeles, California, United States",P,,,,,,,,,,,,,,,,,,,,,
2006,"Seattle, Washington, United States",P,,,,,,,,,,,,,,,,,,,,,
2006,Russia,P,,,,,,,,,,,,,,,,,,,,,
2006,France,P,,,,,,,,,,,,,,,,,,,,,
2007,Israel,P,,,,,,,,,,,,,,,,,,,,,
2007,France,,,,,"On 15 November 2007, an appellate court sentenced Dieudonné M'bala M'bala to a €5,000 fine because he had characterized ""the Jews"" as ""slave traders"" after being attacked in le Théâtre de la Main d'Or.[106]",,,,,,,,,,,,,,,,,
2007,Venezuela,P,,,,,,,,,,,,,,,,,,,,,
2007,Germany,,,,,"On 15 February 2007, Holocaust denier Ernst Zündel was convicted on 14 counts of incitement under Germany's Volksverhetzung law, which bans the incitement of hatred against a portion of the population, and given the maximum sentence of five years in prison.[108]",,,,,,,,,,,,,,,,,
2008,"Mumbai, India",P,,,,,,,,,,,,,,,,,,,,,
2008,"Guine,Conkary,  Africa",P,,,,,,,,,,,,,,,,,,,,,
2010,Venezuela,P,,,,,,,,,,,,,,,,,,,,,
2012,Algeria,,,,,"Since 2005, the Algerian government has attempted to reduce discrimination against the Jewish population, by establishing a Jewish association, and passing a law that recognized freedom of religion. They also allowed a relaunching of Jewish pilgrimage, to the most holy Jewish sites in North Africa. In 2014, the Minister of Religious Affairs Mohammed Eissa announced that the Algerian government would foster the reopening of Jewish synagogues. However, this never came to fruition, with Eissa stating that it was no longer the interest of Algerian Jews.[33] In 2017, there were an estimated 50 Jews remaining in Algeria, mostly in Algiers.[21] In 2020, there are an estimated 200 Jews in Algeria.[1] 2012 is when the law for religious freedom appears to have been slated, but say there aren't really any Jews there",,,,,,,,,,,,,,,,,
2014,"San Juan la Laguana, Guatemala",P,,,,,,,,,,,,,,,,,,,,,
2014,Romania,,,,,"Some 400 Romanians immigrate annually to Israel, the majority of them partners in mixed marriages. In 2014, Israel and Romania signed a Joint Declaration for Intergovernmental Consultations, which included statements reaffirming their shared values of democracy, freedom, and the rule of law. - Best relationship as allies, not within their borders. Zionism is their compromsie/works for them if overly optimistic",,,,,,,,,,,,,,,,,
2015,Italy,P,,,,,,,,,,,,,,,,,,,,,
2018,"Sainte-Agathe-des-Monts, Quebec, Canada",P,,,,,,,,,,,,,,,,,,,,,
2019,France,P,,,,,,,,,,,,,,,,,,,,,
2019,England,P,,,,,,,,,,,,,,,,,,,,,
2019,Hungary,,,,,"During a visit to Israel in February 2019, for example, Prime Minister Viktor Orban announced Hungary will open a trade office in Jerusalem that will have official “diplomatic status.” The mission opened on March 19.",,,,,,,,,,,,,,,,,
2020,Lebanon,,,,,"Unrelated to the Jewish community, religious workers are subject to legal prosecution and immediate deportation for any activity involving religious or other criticism directed against the state or any other country – except Israel.In addition to the estimated 70 Jews living in the country, the State Department reported in its 2020 report that another 5,500 registered Jewish voters living abroad  have the right to vote in parliamentary elections despite only 29 identified Jews still living in Lebanon.  Claim it is an oversight every 6 years?(JVL)",1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1
